Reasons to Correct Entry,Unique Identifier,ID,Type,Inventory_By,Location_ID,Location,Department_ID,Department,DEPT_New,EPIC_BLDG,EPIC_DEPT,Flr Pln L,Flr Pln N,Flr Pln D,EPIC_LOC,EPIC_Room,Hostname,Serial,Tag,Domain,WS_Type,WS_Strategy,WS_Function,WS_BCA,WS_Com,WS_Mon_Make_1,WS_Mon_Mod_1,Mon 1,WS_Mon_Make_2,WS_Mon_Mod_2,Mon 2,WS_Mon_Make_3,WS_Mon_Mod_3,Mon 3,WS_Mon_Make_4,WS_Mon_Mod_4,Mon 4,WS_Mon_Com,WS_Prnt_Paper,WS_Prnt_baby_WB,WS_Prnt_WB,WS_Prnt_Pharm,WS_Prnt_Patient,WS_Prnt_Spec,WS_Prnt_Script,WS_Prnt_Local,WS_Prnt_Com,Scanner,Webcam,Bioscript,Badge Rdr,CreditCard Rdr,eSignature Pad,Barcode Rdr,WS_Peri_Com,PRNT_Type,PRNT_Queue_Name,PRNT_EPIC_Name,Network Pntr IP,PRNT_Make,PRNT_Model,PRNT_Tray_1,PRNT_Tray_2,PRNT_Tray_3,PRNT_Tray_4,PRNT_Tray_Lock,PRNT_Label_Size,PRNT_Com,BRD_Make,BRD_Model,BRD_OS,BRD_Attached,BRD_Com,BRD_Mon_Mod_1,BRD_Mon_Res_1,BRD_Mon_Orient_1,BRD_Mon_Size_1,BRD_Mon_Mod_2,BRD_Mon_Res_2,BRD_Mon_Orient_2,BRD_Mon_Size_2,BRD_Mon_Com,Duplicate_of_ID,Flr Pln D String,Flagging Reason
"Missing New Floor Plan, Missing Old Floor Plan, Duplicate based on Designator and Department, Incorrect Designator Info",1,598389,Workstation,iouedraoga,446238,Peconic Bay Medical Center,298398,Case Management,,,,,,NO ACCESS / NOT FOUND,CASE MANAGEMENT OFFICE,TP0349,LW10RI130CSM046,PF1KPGW0,L034113,PBMC.ORG,Laptop,Personal,Office,0,NO ACCESS /NOT FOUND,LENOVO E2054A,,20,,,0,,,0,,,0,,10.55.14.145 - RICOH IM 350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,NO ACCESS / NOT FOUND,"Missing New Floor Plan, Missing Old Floor Plan, Duplicate based on Designator and Department, Incorrect Designator Info"
"Missing New Floor Plan, Missing Old Floor Plan, Duplicate based on Designator and Department, Incorrect Designator Info",2,598390,Workstation,iouedraoga,446238,Peconic Bay Medical Center,298398,Case Management,,,,,,NOT FOUND,CASE MANAGEMENT OFFICE,TP0349,LRI130CSM001,PF42AKX2,L059532,PBMC.ORG,Laptop,Personal,Office,0,,DELL P1913,,19,,,0,,,0,,,0,,10.55.14.145 - RICOH IM 350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,NOT FOUND,"Missing New Floor Plan, Missing Old Floor Plan, Duplicate based on Designator and Department, Incorrect Designator Info"
"Missing New Floor Plan, Missing Old Floor Plan, Duplicate based on Designator and Department, Incorrect Designator Info",3,598452,Workstation,mmendez30,446238,Peconic Bay Medical Center,298459,Quality Management,,,,,,NOT FOUND,ONLY COMPUTER IN ROOM,TPO3433,WW10RI130MRC018,MJ0EBACG,D085397,PBMC.ORG,Desktop,Personal,Office,0,,DELL,P2214H,22,DELL,P2214H,22,,,0,,,0,,10.55.5.215-RICOH IM C6000,,,,,,,,,,ADESSO\CYBERTRACK H4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,NOT FOUND,"Missing New Floor Plan, Missing Old Floor Plan, Duplicate based on Designator and Department, Incorrect Designator Info"
"Missing New Floor Plan, Missing Old Floor Plan, Duplicate based on Designator and Department, Incorrect Designator Info",4,598454,Workstation,pa_mgrass,446238,Peconic Bay Medical Center,298459,Quality Management,,,,,,NOT FOUND,BACK LEFT OF OFFICE,TP03438,WW10RI130HEH005,MJ083TFW,D064067,PBMC.ORG,Desktop,Personal,Office,0,,DELL,P190S,19,,,0,,,0,,,0,,10.55.5.215 - RICO/IMC6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,NOT FOUND,"Missing New Floor Plan, Missing Old Floor Plan, Duplicate based on Designator and Department, Incorrect Designator Info"
"Missing New Floor Plan, Missing Old Floor Plan, Duplicate based on Designator and Department, Incorrect Designator Info",5,598478,Printer,roneill6,446238,Peconic Bay Medical Center,346758,Medicine,,,,,,NOT FOUND,PRINTER IN HALLWAY,TP03417,,,,,,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,Plain Paper Printouts,PB-GME,,10.55.14.114,HP,LASERJET ENTERPRISE M607,PLAIN,PLAIN,,,,,IP PRINTER,,,,,,,,,0,,,,0,,,NOT FOUND,"Missing New Floor Plan, Missing Old Floor Plan, Duplicate based on Designator and Department, Incorrect Designator Info"
"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info",6,598556,Printer,roneill6,446238,Peconic Bay Medical Center,585925,Surgery - General,,,,https://northwell.sharepoint.com/:b:/r/sites/EpicTransformation/Epic%20Build%20Team/Integrated%20Areas/End%20User%20Devices%20(EUD)/Inventory/Wave%201%20EUD/PBMC/Floor%20Plans/Peconic%20Bay%20Hospital/PBMC_FL_3_Corridor.pdf?csf=1&web=1&e=wWIdip,PBMC_FL_3_Corridor,NOT FOUND,ONLY PRINTER IN ROOM,TP03702,,,,,,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,Plain Paper Printouts,,,10.55.14.92,HP,LASERJET MFP M227FDW,PLAIN,PLAIN,,,,,,,,,,,,,,0,,,,0,,,NOT FOUND,"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info"
"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info",7,598557,Printer,roneill6,446238,Peconic Bay Medical Center,298416,Hospital Administration,,,,https://northwell.sharepoint.com/:b:/r/sites/EpicTransformation/Epic%20Build%20Team/Integrated%20Areas/End%20User%20Devices%20(EUD)/Inventory/Wave%201%20EUD/PBMC/Floor%20Plans/Peconic%20Bay%20Hospital/PBMC_FL_3_Corridor.pdf?csf=1&web=1&e=wWIdip,PBMC_FL_3_Corridor,NOT FOUND,ONLY PRINTER IN ROOM,TP03707,,,,,,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,Plain Paper Printouts,,,10.55.14.135,HP,LASERJET PRO M454DN,PLAIN,PLAIN,,,,,,,,,,,,,,0,,,,0,,,NOT FOUND,"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info"
"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info",8,598558,Workstation,pa_mgrass,446238,Peconic Bay Medical Center,585925,Surgery - General,,,,https://northwell.sharepoint.com/:b:/r/sites/EpicTransformation/Epic%20Build%20Team/Integrated%20Areas/End%20User%20Devices%20(EUD)/Inventory/Wave%201%20EUD/PBMC/Floor%20Plans/Peconic%20Bay%20Hospital/PBMC_FL_3_Corridor.pdf?csf=1&web=1&e=wWIdip,PBMC_FL_3_Corridor,NOT FOUND,BOTTOM MONITOR,TP03709,WW10RI130MAT021,MJ05UHE9,,PBMC.ORG,Desktop,Personal,Office,0,,LENOVO,T2224DA,24,,,0,,,0,,,0,,10.123.10.25 - RH031-CAR03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,NOT FOUND,"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info"
"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info",9,598559,Workstation,pa_mgrass,446238,Peconic Bay Medical Center,585925,Surgery - General,,,,https://northwell.sharepoint.com/:b:/r/sites/EpicTransformation/Epic%20Build%20Team/Integrated%20Areas/End%20User%20Devices%20(EUD)/Inventory/Wave%201%20EUD/PBMC/Floor%20Plans/Peconic%20Bay%20Hospital/PBMC_FL_3_Corridor.pdf?csf=1&web=1&e=wWIdip,PBMC_FL_3_Corridor,NOT FOUND,TOP MONITOR,TP03709,WW10RI130MAT005,MJ07SMFL,,PBMC.ORG,Desktop,Personal,Office,0,,LG,M910Z,24,,,0,,,0,,,0,,10.123.10.25 - RH031-CAR03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,NOT FOUND,"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info"
"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info",10,598596,Printer,roneill6,446238,Peconic Bay Medical Center,430561,Peconic Cardio,,,,https://northwell.sharepoint.com/:b:/r/sites/EpicTransformation/Epic%20Build%20Team/Integrated%20Areas/End%20User%20Devices%20(EUD)/Inventory/Wave%201%20EUD/PBMC/Floor%20Plans/Peconic%20Bay%20Hospital/PBMC_fl_3_dept_Cardiology.pdf?csf=1&web=1&e=JGIxRG,PBMC_fl_3_dept_Cardiology,NOT FOUND,ONLY PRINTER IN ROOM,N325A,,,,,,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,Plain Paper Printouts,,,10.55.22.123,HP,LASERJET PRO M452DN,PLAIN,PLAIN,,,,,IP PRINTER,,,,,,,,,0,,,,0,,,NOT FOUND,"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info"
